id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1175778289195130880,1175760893436542976,1569162363000,2019-09-22,21:26:03,SE Asia Standard Time,1078789780060594176,kanghardi1008,mBang B'm@s,,"Lurus

#GejayanMemanggil
#GejayanMemanggil",['kanseulir'],[],[],0,0,5,"['#gejayanmemanggil', '#gejayanmemanggil']",[],https://twitter.com/kanghardi1008/status/1175778289195130880,False,,0,,,,,,,"[{'user_id': '1078789780060594176', 'username': 'kanghardi1008'}, {'user_id': '279312062', 'username': 'Kanseulir'}]",,,,
1175778281594818560,1175778281594818560,1569162361000,2019-09-22,21:26:01,SE Asia Standard Time,1976158470,kikinisasi,#Kikinian,,#GejayanMemanggil  pic.twitter.com/PHAwRbLdEk,[],[],['https://pbs.twimg.com/media/EFE0G39UEAEOVhn.jpg'],2,1,0,['#gejayanmemanggil'],[],https://twitter.com/kikinisasi/status/1175778281594818560,False,,0,,,,,,,"[{'user_id': '1976158470', 'username': 'kikinisasi'}]",,,,
1175778259918716928,1175778259918716928,1569162356000,2019-09-22,21:25:56,SE Asia Standard Time,2344795214,bennybernabeau,beni syufaat,,Mantabzzzz#GejayanMemanggil,[],[],[],0,0,0,[],[],https://twitter.com/Bennybernabeau/status/1175778259918716928,False,,0,,,,,,,"[{'user_id': '2344795214', 'username': 'Bennybernabeau'}]",,,,
1175778223382093825,1175778223382093825,1569162348000,2019-09-22,21:25:48,SE Asia Standard Time,777533036,dandbrm,Dandy,,"Semoga selalu aman dan damai.. #GejayanMemanggil
 https://www.kompas.com/tren/read/2019/09/22/173504265/trending-gejayanmemanggil-ini-sejarah-pergerakan-mahasiswa-di-yogyakarta …",[],['https://www.kompas.com/tren/read/2019/09/22/173504265/trending-gejayanmemanggil-ini-sejarah-pergerakan-mahasiswa-di-yogyakarta'],[],0,0,0,['#gejayanmemanggil'],[],https://twitter.com/dandbrm/status/1175778223382093825,False,,0,,,,,,,"[{'user_id': '777533036', 'username': 'dandbrm'}]",,,,
1175778219410128896,1175743773495611393,1569162347000,2019-09-22,21:25:47,SE Asia Standard Time,1188900020,54m_murr4y,Sam Murray,,"Mbledos  😋
#GejayanMemanggil",[],[],[],0,1,2,['#gejayanmemanggil'],[],https://twitter.com/54M_MURR4Y/status/1175778219410128896,False,,0,,,,,,,"[{'user_id': '1188900020', 'username': '54M_MURR4Y'}]",,,,
1175778217916948482,1175778217916948482,1569162346000,2019-09-22,21:25:46,SE Asia Standard Time,138717367,nden_baguse,Paino Iki Yo,,"#GejayanMemanggil
Untuk Indonesia yg lebih baik",[],[],[],0,0,0,['#gejayanmemanggil'],[],https://twitter.com/nden_baguse/status/1175778217916948482,False,,0,,,,,,,"[{'user_id': '138717367', 'username': 'nden_baguse'}]",,,,
1175778161310593024,1175699938556039168,1569162333000,2019-09-22,21:25:33,SE Asia Standard Time,973880646807384064,deayrk,hericane,,"Sesuk ngampus aku, meh jajan dab sup #GejayanMemanggil",['elvrnt'],[],[],1,0,0,['#gejayanmemanggil'],[],https://twitter.com/deayrk/status/1175778161310593024,False,,0,,,,,,,"[{'user_id': '973880646807384064', 'username': 'deayrk'}, {'user_id': '95174496', 'username': 'elvrnt'}]",,,,
1175778154671067136,1175778154671067136,1569162331000,2019-09-22,21:25:31,SE Asia Standard Time,1290943898,hendrart0,Daffa,,#gejayanmemanggil  https://twitter.com/NKR_Internet/status/1175770026420260864 …,[],['https://twitter.com/NKR_Internet/status/1175770026420260864'],[],0,0,0,['#gejayanmemanggil'],[],https://twitter.com/hendrart0/status/1175778154671067136,False,https://twitter.com/NKR_Internet/status/1175770026420260864,0,,,,,,,"[{'user_id': '1290943898', 'username': 'hendrart0'}]",,,,
1175778101411766272,1175778101411766272,1569162318000,2019-09-22,21:25:18,SE Asia Standard Time,1167647970474393601,sssemadax,julisaputra,,#GejayanMemanggil,[],[],[],0,0,0,['#gejayanmemanggil'],[],https://twitter.com/SSSEMADAX/status/1175778101411766272,False,,0,,,,,,,"[{'user_id': '1167647970474393601', 'username': 'SSSEMADAX'}]",,,,
1175778083409944576,1175760893436542976,1569162314000,2019-09-22,21:25:14,SE Asia Standard Time,1078789780060594176,kanghardi1008,mBang B'm@s,,"Siap

#GejayanMemanggil
#GejayanMemanggil",['kanseulir'],[],[],0,0,8,"['#gejayanmemanggil', '#gejayanmemanggil']",[],https://twitter.com/kanghardi1008/status/1175778083409944576,False,,0,,,,,,,"[{'user_id': '1078789780060594176', 'username': 'kanghardi1008'}, {'user_id': '279312062', 'username': 'Kanseulir'}]",,,,
1175778030699991042,1175778030699991042,1569162302000,2019-09-22,21:25:02,SE Asia Standard Time,135389073,dianpalupi13,Dian Palupi,,baru bacain hashtag #GejayanMemanggil aja mrinding lho aku👏👍,[],[],[],1,0,7,['#gejayanmemanggil'],[],https://twitter.com/dianpalupi13/status/1175778030699991042,False,,0,,,,,,,"[{'user_id': '135389073', 'username': 'dianpalupi13'}]",,,,
1175777987582578689,1175777987582578689,1569162291000,2019-09-22,21:24:51,SE Asia Standard Time,541375705,papaprocknlol,mipan zuzuzu,,Di rumah aja lah ... #GejayanMemanggil,[],[],[],0,0,0,['#gejayanmemanggil'],[],https://twitter.com/papaprocknlol/status/1175777987582578689,False,,0,,,,,,,"[{'user_id': '541375705', 'username': 'papaprocknlol'}]",,,,
